用户ID,会员级别,手机参数,昵称,购买时间,评论内容
,,,,,
1.03531E+12,0,网络类型:无需合约版;机身颜色:金色;套餐类型:官方标配;存储容量:64GB,t***3,2019/2/20 16:13,苏宁易购买了4次了。价格确实很大的优惠。最重要的是品质保证。正品保证
1.03579E+12,0,网络类型:无需合约版;机身颜色:深空灰色;套餐类型:官方标配;存储容量:64GB,y***6,2019/2/24 16:32,此用户没有填写评论!
1.03606E+12,0,网络类型:无需合约版;机身颜色:深空灰色;套餐类型:官方标配;存储容量:64GB,l***8,2019/2/26 18:02,手机全新的，物流速度很快，8P玩起游戏来比之前的6流畅很多，很满意的一次购物
1.03613E+12,0,网络类型:无需合约版;机身颜色:金色;套餐类型:官方标配;存储容量:64GB,我***0,2019/3/1 10:12,手机在苏宁已经是第三次购买了，之前买的是苹果7，一直都相当好用，过了质保期后还正常享受了一次官方低价更换电池的服务，果7有满血复活了，由于父亲想学习使用智能机，就把果7给父亲使用了，自己再购一台8P，实在接受不了时下流行的刘海屏，所以果断下手8P，个人觉得是最实惠的机型了。收到宝贝立即激活了，官网查询保修期正常。我相信苏宁的品牌，下次购机还来苏宁。
1.0358E+12,0,网络类型:无需合约版;机身颜色:深空灰色;套餐类型:官方标配;存储容量:64GB,乔***源,2019/2/24 18:59,很好用，自己的买了一年了，给家里人买了一个
1.03571E+12,0,网络类型:无需合约版;机身颜色:深空灰色;套餐类型:官方标配;存储容量:64GB,万***琴,2018/12/23 17:29,此用户没有填写评论!
1.03566E+12,0,网络类型:无需合约版;机身颜色:银色;套餐类型:官方标配;存储容量:64GB,高***范,2019/2/26 7:41,非常好用  正品 而且比官方价便宜好几百  划算  北鼻和我的手机都是在这家店买的  开熏
1.03549E+12,0,网络类型:无需合约版;机身颜色:银色;套餐类型:官方标配;存储容量:64GB,你***呐,2019/2/21 17:47,很好用 好评
1.03607E+12,0,网络类型:无需合约版;机身颜色:金色;套餐类型:官方标配;存储容量:64GB,就***8,2019/2/28 14:39,特意用了几天才来评价的，东西收到时就查了真伪，确定是国行正品未拆封，保修期剩余一年，运行流畅，等用段时间再来追加！
1.03557E+12,0,网络类型:无需合约版;机身颜色:深空灰色;套餐类型:官方标配;存储容量:64GB,l***5,2019/2/22 23:17,第一次用苹果，自己都不敢按，怕按坏啦。  希望有一天去看idol.   演唱会 加油鸭 努力赚钱 好好上班 开心快乐幸福 开心快乐幸福 开心快乐幸福 开心快乐幸福 开心快乐幸福 开心快乐幸福 开心快乐幸福 开心快乐幸福 开心快乐幸福 开心快乐幸福 开心快乐幸福 开心快乐幸福 开心快乐幸福 开心快乐幸福 开心快乐幸福 开心快乐幸福 开心快乐幸福 开心快乐幸福 开心快乐幸福 开心快乐幸福 开心快乐幸福 开心快乐幸福 开心快乐幸福 开心快乐幸福
1.03611E+12,0,网络类型:无需合约版;机身颜色:金色;套餐类型:官方标配;存储容量:64GB,憧***瑞,2019/3/3 18:45,"真的超级喜欢，非常支持，质量非常好，与卖家描述的完全一致，非常满意,真的很喜欢，完全超出期望值，发货速度非常快，包装非常仔细、严实，物流公司服务态度很好，运送速度很快，很满意的一次购物"
1.03564E+12,0,网络类型:无需合约版;机身颜色:银色;套餐类型:官方标配;存储容量:64GB,雷***斯,2019/2/21 22:34,是正品！未拆封！一直很相信天猫商城！相信苏宁电器！宝贝非常好，与卖家描述的完全一致，非常满意，真的很喜欢，完全超出期望值，发货速度非常快，包装非常仔细、严实，  物流公司服务态度很好，运送速度很快，很满意的一次购物，希望越来越好，继续保持，我们也继续支持。
1.03615E+12,0,网络类型:无需合约版;机身颜色:深空灰色;套餐类型:官方标配;存储容量:64GB,南***a,2019/3/1 14:22,是正品！未拆封！一直很相信天猫商城！相信苏宁电器！宝贝非常好，与卖家描述的完全一致，非常满意，真的很喜欢，完全超出期望值，发货速度非常快，包装非常仔细、严实， 物流公司服务态度很好，运送速度很快，很满意的一次购物，希望越来越好，继续保持，我们也继续支持。用了十几天才来评价，可以放心购买 客服妹妹和快递小哥值得赞
1.03629E+12,0,网络类型:无需合约版;机身颜色:金色;套餐类型:官方标配;存储容量:64GB,云***2,2019/3/1 18:48,奶思！就很棒 以后还会再来的～挺好的 声音也OK 全新的机子
1.01444E+12,0,网络类型:无需合约版;机身颜色:金色;套餐类型:官方标配;存储容量:64GB,赢***你,2018/8/23 15:03,此用户没有填写评论!
1.03615E+12,0,网络类型:无需合约版;机身颜色:深空灰色;套餐类型:官方标配;存储容量:64GB,h***1,2019/3/1 13:22,很满意哈！?? 推荐给你们的东东 不是我亲测过就是团队亲测过的 每天买买买拍拍拍，还要修修修 不想只是发个优惠券，要做就做好 东西要实惠好用，价格也要尽量低 你们看到图也要美美哒 这是我种花生对自己的要求 我希望每一个看过我朋友圈的人 不仅能够买到质优价廉的东西 看到的商品图片也是舒心的
1.03569E+12,0,网络类型:无需合约版;机身颜色:金色;套餐类型:官方标配;存储容量:64GB,c***0,2019/2/24 23:40,物流很快。  隔天就到了。打开包装很精致 颜值很高 一直都想买来着 但黑色的没有货了 这个颜值也很好看 应该是正品 反应很快 配套也很齐全 自己鼓捣了半天 才搞明白了 客服的态度也很好 随时回答 好好啊好啊好喜欢哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈相信苏宁哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈好哈哈哈哈江河湖海就好哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
1.03568E+12,0,网络类型:无需合约版;机身颜色:银色;套餐类型:官方标配;存储容量:64GB,顺***吧,2019/2/24 21:36,第一次用苹果，自己都不敢按，怕按坏啦。  希望有一天去看idol.演唱会加油鸭努力赚钱好好上班开心快乐幸福开心快乐幸福开心快乐幸福开心快乐幸福开心快乐幸福开心快乐幸福开心快乐幸福开心快乐幸福开心快乐幸福开心快乐幸福开心快乐幸福开心快乐幸福开心快乐幸福开心快乐幸福开心快乐幸福开心快乐幸福开心快乐幸福开心快乐幸福开心快乐幸福开心快乐幸福开心快乐幸福开心快乐幸福开心快乐幸福开心快乐幸福 复制~
1.03591E+12,0,网络类型:无需合约版;机身颜色:深空灰色;套餐类型:官方标配;存储容量:64GB,a***0,2019/3/1 13:44,下单第二天早上就收到货了，运行流畅，很好用。
1.03601E+12,0,网络类型:无需合约版;机身颜色:金色;套餐类型:官方标配;存储容量:64GB,t***1,2019/3/1 11:35,以旧换新买的，质量没有问题，用起来很流畅放心购买吧
1.03531E+12,0,网络类型:无需合约版;机身颜色:金色;套餐类型:官方标配;存储容量:64GB,t***3,2019/2/20 16:13,苏宁易购买了4次了。价格确实很大的优惠。最重要的是品质保证。正品保证
1.03579E+12,0,网络类型:无需合约版;机身颜色:深空灰色;套餐类型:官方标配;存储容量:64GB,y***6,2019/2/24 16:32,此用户没有填写评论!
1.03606E+12,0,网络类型:无需合约版;机身颜色:深空灰色;套餐类型:官方标配;存储容量:64GB,l***8,2019/2/26 18:02,手机全新的，物流速度很快，8P玩起游戏来比之前的6流畅很多，很满意的一次购物
1.03613E+12,0,网络类型:无需合约版;机身颜色:金色;套餐类型:官方标配;存储容量:64GB,我***0,2019/3/1 10:12,手机在苏宁已经是第三次购买了，之前买的是苹果7，一直都相当好用，过了质保期后还正常享受了一次官方低价更换电池的服务，果7有满血复活了，由于父亲想学习使用智能机，就把果7给父亲使用了，自己再购一台8P，实在接受不了时下流行的刘海屏，所以果断下手8P，个人觉得是最实惠的机型了。收到宝贝立即激活了，官网查询保修期正常。我相信苏宁的品牌，下次购机还来苏宁。
1.0358E+12,0,网络类型:无需合约版;机身颜色:深空灰色;套餐类型:官方标配;存储容量:64GB,乔***源,2019/2/24 18:59,很好用，自己的买了一年了，给家里人买了一个
1.03571E+12,0,网络类型:无需合约版;机身颜色:深空灰色;套餐类型:官方标配;存储容量:64GB,万***琴,2018/12/23 17:29,此用户没有填写评论!
1.03566E+12,0,网络类型:无需合约版;机身颜色:银色;套餐类型:官方标配;存储容量:64GB,高***范,2019/2/26 7:41,非常好用  正品 而且比官方价便宜好几百  划算  北鼻和我的手机都是在这家店买的  开熏
1.03549E+12,0,网络类型:无需合约版;机身颜色:银色;套餐类型:官方标配;存储容量:64GB,你***呐,2019/2/21 17:47,很好用 好评
1.03607E+12,0,网络类型:无需合约版;机身颜色:金色;套餐类型:官方标配;存储容量:64GB,就***8,2019/2/28 14:39,特意用了几天才来评价的，东西收到时就查了真伪，确定是国行正品未拆封，保修期剩余一年，运行流畅，等用段时间再来追加！
1.03557E+12,0,网络类型:无需合约版;机身颜色:深空灰色;套餐类型:官方标配;存储容量:64GB,l***5,2019/2/22 23:17,第一次用苹果，自己都不敢按，怕按坏啦。  希望有一天去看idol.   演唱会 加油鸭 努力赚钱 好好上班 开心快乐幸福 开心快乐幸福 开心快乐幸福 开心快乐幸福 开心快乐幸福 开心快乐幸福 开心快乐幸福 开心快乐幸福 开心快乐幸福 开心快乐幸福 开心快乐幸福 开心快乐幸福 开心快乐幸福 开心快乐幸福 开心快乐幸福 开心快乐幸福 开心快乐幸福 开心快乐幸福 开心快乐幸福 开心快乐幸福 开心快乐幸福 开心快乐幸福 开心快乐幸福 开心快乐幸福
1.03611E+12,0,网络类型:无需合约版;机身颜色:金色;套餐类型:官方标配;存储容量:64GB,憧***瑞,2019/3/3 18:45,"真的超级喜欢，非常支持，质量非常好，与卖家描述的完全一致，非常满意,真的很喜欢，完全超出期望值，发货速度非常快，包装非常仔细、严实，物流公司服务态度很好，运送速度很快，很满意的一次购物"
1.03564E+12,0,网络类型:无需合约版;机身颜色:银色;套餐类型:官方标配;存储容量:64GB,雷***斯,2019/2/21 22:34,是正品！未拆封！一直很相信天猫商城！相信苏宁电器！宝贝非常好，与卖家描述的完全一致，非常满意，真的很喜欢，完全超出期望值，发货速度非常快，包装非常仔细、严实，  物流公司服务态度很好，运送速度很快，很满意的一次购物，希望越来越好，继续保持，我们也继续支持。
1.03615E+12,0,网络类型:无需合约版;机身颜色:深空灰色;套餐类型:官方标配;存储容量:64GB,南***a,2019/3/1 14:22,是正品！未拆封！一直很相信天猫商城！相信苏宁电器！宝贝非常好，与卖家描述的完全一致，非常满意，真的很喜欢，完全超出期望值，发货速度非常快，包装非常仔细、严实， 物流公司服务态度很好，运送速度很快，很满意的一次购物，希望越来越好，继续保持，我们也继续支持。用了十几天才来评价，可以放心购买 客服妹妹和快递小哥值得赞
1.03629E+12,0,网络类型:无需合约版;机身颜色:金色;套餐类型:官方标配;存储容量:64GB,云***2,2019/3/1 18:48,奶思！就很棒 以后还会再来的～挺好的 声音也OK 全新的机子
1.01444E+12,0,网络类型:无需合约版;机身颜色:金色;套餐类型:官方标配;存储容量:64GB,赢***你,2018/8/23 15:03,此用户没有填写评论!
1.03615E+12,0,网络类型:无需合约版;机身颜色:深空灰色;套餐类型:官方标配;存储容量:64GB,h***1,2019/3/1 13:22,很满意哈！?? 推荐给你们的东东 不是我亲测过就是团队亲测过的 每天买买买拍拍拍，还要修修修 不想只是发个优惠券，要做就做好 东西要实惠好用，价格也要尽量低 你们看到图也要美美哒 这是我种花生对自己的要求 我希望每一个看过我朋友圈的人 不仅能够买到质优价廉的东西 看到的商品图片也是舒心的
1.03569E+12,0,网络类型:无需合约版;机身颜色:金色;套餐类型:官方标配;存储容量:64GB,c***0,2019/2/24 23:40,物流很快。  隔天就到了。打开包装很精致 颜值很高 一直都想买来着 但黑色的没有货了 这个颜值也很好看 应该是正品 反应很快 配套也很齐全 自己鼓捣了半天 才搞明白了 客服的态度也很好 随时回答 好好啊好啊好喜欢哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈相信苏宁哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈好哈哈哈哈江河湖海就好哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
1.03568E+12,0,网络类型:无需合约版;机身颜色:银色;套餐类型:官方标配;存储容量:64GB,顺***吧,2019/2/24 21:36,第一次用苹果，自己都不敢按，怕按坏啦。  希望有一天去看idol.演唱会加油鸭努力赚钱好好上班开心快乐幸福开心快乐幸福开心快乐幸福开心快乐幸福开心快乐幸福开心快乐幸福开心快乐幸福开心快乐幸福开心快乐幸福开心快乐幸福开心快乐幸福开心快乐幸福开心快乐幸福开心快乐幸福开心快乐幸福开心快乐幸福开心快乐幸福开心快乐幸福开心快乐幸福开心快乐幸福开心快乐幸福开心快乐幸福开心快乐幸福开心快乐幸福 复制~
1.03591E+12,0,网络类型:无需合约版;机身颜色:深空灰色;套餐类型:官方标配;存储容量:64GB,a***0,2019/3/1 13:44,下单第二天早上就收到货了，运行流畅，很好用。
1.03601E+12,0,网络类型:无需合约版;机身颜色:金色;套餐类型:官方标配;存储容量:64GB,t***1,2019/3/1 11:35,以旧换新买的，质量没有问题，用起来很流畅放心购买吧
1.03575E+12,0,网络类型:无需合约版;机身颜色:深空灰色;套餐类型:官方标配;存储容量:64GB,电***侠,2019/2/27 12:06,手机是正品的，用了几天才来评价
1.0356E+12,0,网络类型:无需合约版;机身颜色:深空灰色;套餐类型:官方标配;存储容量:64GB,精***啊,2019/2/21 13:15,昨天下单今天就收到货了  机子没有任何问题  等我用一段时间再来追评
1.03601E+12,0,网络类型:无需合约版;机身颜色:银色;套餐类型:官方标配;存储容量:64GB,我***邪,2019/2/27 16:11,价格很不错。过年也发货，用了快一个月了，很不错，挺满意的，喜欢哦
1.03636E+12,0,网络类型:无需合约版;机身颜色:深空灰色;套餐类型:官方标配;存储容量:64GB,木***音,2019/3/3 21:12,给老妈买的，不错！已经第三次购买！相信苏宁！靠谱！
1.03579E+12,0,网络类型:无需合约版;机身颜色:银色;套餐类型:官方标配;存储容量:64GB,t***7,2019/2/24 17:43,手机性能都很好，官方零售机，很喜欢，电池一天一充
1.03594E+12,0,网络类型:无需合约版;机身颜色:深空灰色;套餐类型:官方标配;存储容量:64GB,y***0,2019/3/1 20:42,正品手机很好用
1.03555E+12,0,网络类型:无需合约版;机身颜色:金色;套餐类型:官方标配;存储容量:64GB,悲***我,2019/2/12 17:19,此用户没有填写评论!
1.03588E+12,0,网络类型:无需合约版;机身颜色:深空灰色;套餐类型:官方标配;存储容量:64GB,傅***灵,2019/3/1 8:13,拍照片很好看
1.03623E+12,0,网络类型:无需合约版;机身颜色:金色;套餐类型:官方标配;存储容量:64GB,盛***0,2019/3/2 14:14,使用非常满意，用了很久才来评价，非常相信苏宁的品质，没有拍手机的照片，苹果的像素是非常好的，犹豫的可以买了，
1.0363E+12,0,网络类型:无需合约版;机身颜色:金色;套餐类型:官方标配;存储容量:64GB,黄***源,2019/3/1 20:02,还不错 比店里便宜点 用用在说吧
1.03553E+12,0,网络类型:无需合约版;机身颜色:深空灰色;套餐类型:官方标配;存储容量:64GB,尊***师,2019/2/22 12:10,电子产品一直在苏宁买，方便，快捷，而且解释，耐操，还会继续的嘻嘻嘻
1.03579E+12,0,网络类型:无需合约版;机身颜色:银色;套餐类型:官方标配;存储容量:64GB,z***9,2019/2/27 19:55,货很好，是正品。快递速度很快一天就到了??????
1.03574E+12,0,网络类型:无需合约版;机身颜色:金色;套餐类型:官方标配;存储容量:64GB,s***0,2019/2/27 11:15,很好用，感觉还是8P有质感
1.03616E+12,0,网络类型:无需合约版;机身颜色:金色;套餐类型:官方标配;存储容量:64GB,淘***茶,2019/3/1 16:30,很不错，性价比还算可以，挺好的。
1.03623E+12,0,网络类型:无需合约版;机身颜色:深空灰色;套餐类型:官方标配;存储容量:64GB,暗***淘,2019/3/1 7:23,用起来还不错，性价比超高，比起全面屏，还是喜欢这样的Iphone
1.03609E+12,0,网络类型:无需合约版;机身颜色:金色;套餐类型:官方标配;存储容量:64GB,l***o,2019/3/2 11:42,蛮好的，实用
1.03583E+12,0,网络类型:无需合约版;机身颜色:银色;套餐类型:官方标配;存储容量:64GB,a***a,2019/2/25 10:18,物流速度还可以吧，官网查了是正品刚激活的，小伙伴们，可以放心购买哦！
1.03603E+12,0,网络类型:无需合约版;机身颜色:深空灰色;套餐类型:官方标配;存储容量:64GB,陌***3,2019/2/27 21:36,应该是正品吧。除了一开始不知道为什么一直闪退外。都挺正常的。用电的话反正现在智能机都挺耗电的。也是因为6S电池寿命80%撑不太住才换的。新机会好一点 不玩游戏、不一直玩着的话还是可以的。拍照很喜欢。为了相机买的
1.0363E+12,0,网络类型:无需合约版;机身颜色:深空灰色;套餐类型:官方标配;存储容量:64GB,十***1,2019/3/1 21:03,很好，正品，非常的喜欢
1.0356E+12,0,网络类型:无需合约版;机身颜色:深空灰色;套餐类型:官方标配;存储容量:64GB,军***穷,2019/2/23 16:23,手机真的挺不错玩游戏毫无压力剩余凑字凑字凑字凑字凑字凑字凑字凑字凑字凑字凑字凑字凑字凑字凑字凑字凑字凑字凑字凑字凑字凑字凑字凑字
1.03583E+12,0,网络类型:无需合约版;机身颜色:金色;套餐类型:官方标配;存储容量:64GB,m***1,2019/2/26 21:11,在苏宁买过4s，6s都很棒，这次买的8p，依然完美
1.03594E+12,0,网络类型:无需合约版;机身颜色:深空灰色;套餐类型:官方标配;存储容量:64GB,9***8,2019/2/28 12:53,手机挺好用的，看着像正品，用一段时间在追平 ^_^^_^^_^^_^^_^
1.03594E+12,0,网络类型:无需合约版;机身颜色:金色;套餐类型:官方标配;存储容量:64GB,慕***3,2019/3/1 19:36,不错  满意
1.0361E+12,0,网络类型:无需合约版;机身颜色:金色;套餐类型:官方标配;存储容量:64GB,小***蜡,2019/2/28 19:54,国行正品，手感特别好，通话质量很好，苏宁快递也快，满意
1.03576E+12,0,网络类型:无需合约版;机身颜色:深空灰色;套餐类型:官方标配;存储容量:64GB,0***0,2019/2/25 23:04,非常好，物美价廉。值得购买。真的真是我买的最便宜的苹果了??
1.03598E+12,0,网络类型:无需合约版;机身颜色:金色;套餐类型:官方标配;存储容量:64GB,t***7,2019/3/2 12:34,还可以
1.03616E+12,0,网络类型:无需合约版;机身颜色:银色;套餐类型:官方标配;存储容量:64GB,小***a,2019/2/28 9:55,还可以
1.03579E+12,0,网络类型:无需合约版;机身颜色:金色;套餐类型:官方标配;存储容量:64GB,j***3,2019/2/27 21:20,不止一次在苏宁买手机了，情人节送给女朋友的，她很喜欢很喜欢很喜欢！
1.03624E+12,0,网络类型:无需合约版;机身颜色:深空灰色;套餐类型:官方标配;存储容量:64GB,你***迷,2019/3/1 10:03,送货速度快。 东西质量好 正品
1.03614E+12,0,网络类型:无需合约版;机身颜色:深空灰色;套餐类型:官方标配;存储容量:64GB,老***6,2019/2/15 8:46,此用户没有填写评论!
1.03598E+12,0,网络类型:无需合约版;机身颜色:深空灰色;套餐类型:官方标配;存储容量:64GB,t***3,2019/3/2 12:52,特别好，感谢苏宁易购的物流，大年三十早上送过来，在新的一年用上了新的手机，真的感觉特别棒，而且比线下便宜，超划来。
1.03581E+12,0,网络类型:无需合约版;机身颜色:银色;套餐类型:官方标配;存储容量:64GB,y***6,2019/2/26 17:09,正品用起来手感和流畅度很好，苏宁快递很快！
1.03596E+12,0,网络类型:无需合约版;机身颜色:金色;套餐类型:官方标配;存储容量:64GB,t***5,2019/2/25 14:36,手机非常不错，很喜欢大家可以放心购买
1.03562E+12,0,网络类型:无需合约版;机身颜色:金色;套餐类型:官方标配;存储容量:64GB,凉***5,2019/2/21 17:50,晚上拍的 第二天中午就送到了 很棒 速度就是快 机子很棒
1.03572E+12,0,网络类型:无需合约版;机身颜色:银色;套餐类型:官方标配;存储容量:64GB,1***f,2019/2/25 13:02,东西很好用了一个星期不错货真价实吧..也就这样
1.03599E+12,0,网络类型:无需合约版;机身颜色:银色;套餐类型:官方标配;存储容量:64GB,不***我,2019/2/28 23:16,挺好的，用了一段时间。还是苹果用着舒服 反应快
1.03568E+12,0,网络类型:无需合约版;机身颜色:深空灰色;套餐类型:官方标配;存储容量:64GB,h***桃,2019/2/20 21:24,苏宁的物流真的快，前一天十点多拍的，早上快递小哥八点多就送上楼了，快递很认真负责。手机质量很好反应快，查了保修是新机正品，价格便宜，之前8p双十一都没掉价这次力度比较大，我自己感觉看着比x的屏幕要清楚更亮，物有所值，很喜欢了，好评，手机电脑一直都是在淘宝苏宁买的，每次都很好，支持张康阳小boss哈哈哈哈哈哈哈。
1.03599E+12,0,网络类型:无需合约版;机身颜色:深空灰色;套餐类型:官方标配;存储容量:64GB,l***5,2019/2/27 12:56,非常不错的一款手机，正品价格便宜！
1.03576E+12,0,网络类型:无需合约版;机身颜色:金色;套餐类型:官方标配;存储容量:64GB,杨***8,2019/2/27 14:29,不错正品 没有什么问题 可以放心购买 售后无忧
1.03616E+12,0,网络类型:无需合约版;机身颜色:深空灰色;套餐类型:官方标配;存储容量:64GB,张***九,2019/3/3 9:24,用了一段时间了 不错 应该是正品 手机没毛病
1.03565E+12,0,网络类型:无需合约版;机身颜色:银色;套餐类型:官方标配;存储容量:64GB,t***1,2019/2/24 14:38,用了半个月，体验感极好，确实是正品！！
1.03602E+12,0,网络类型:无需合约版;机身颜色:银色;套餐类型:官方标配;存储容量:64GB,永***q,2019/2/26 10:26,第二次购买了，降价赶快
1.03612E+12,0,网络类型:无需合约版;机身颜色:金色;套餐类型:官方标配;存储容量:64GB,t***5,2019/3/1 4:51,给女朋友的礼物??她爱不释手&hellip;&hellip;一如既往支持！
1.03621E+12,0,网络类型:无需合约版;机身颜色:银色;套餐类型:官方标配;存储容量:64GB,王***y,2019/3/2 9:43,应该是正品，儿子说用的很好
1.03572E+12,0,网络类型:无需合约版;机身颜色:银色;套餐类型:官方标配;存储容量:64GB,t***2,2019/2/21 14:42,用了一段时间才过来评价的，用着还不错，各方面都挺好的，好评
1.03626E+12,0,网络类型:无需合约版;机身颜色:金色;套餐类型:官方标配;存储容量:64GB,黄***6,2019/3/1 12:16,应该是正品，妈妈说很好用
1.03606E+12,0,网络类型:无需合约版;机身颜色:金色;套餐类型:官方标配;存储容量:64GB,为***呢,2019/3/1 21:11,宝贝非常好，十分符合我的期待。犹豫了很久，现在觉得非常好。
1.03586E+12,0,网络类型:无需合约版;机身颜色:深空灰色;套餐类型:官方标配;存储容量:64GB,天***0,2019/2/28 19:53,是正品  手机很好  非常开心
1.03581E+12,0,网络类型:无需合约版;机身颜色:金色;套餐类型:官方标配;存储容量:64GB,v***8,2019/2/28 9:03,好，送货相当快，早上买的，下午就到了！包装也很好！
1.03557E+12,0,网络类型:无需合约版;机身颜色:深空灰色;套餐类型:官方标配;存储容量:64GB,小***你,2019/2/24 21:00,正品，未激活的质保到20年2月
1.03606E+12,0,网络类型:无需合约版;机身颜色:金色;套餐类型:官方标配;存储容量:64GB,亦***n,2019/2/28 11:44,特别棒 刚开始还担心这担心那的 结果手机到的时候特别满意
1.03639E+12,0,网络类型:无需合约版;机身颜色:金色;套餐类型:官方标配;存储容量:64GB,c***8,2019/3/2 23:58,给妈妈买的，查了是正品，当天激活
1.03575E+12,0,网络类型:无需合约版;机身颜色:深空灰色;套餐类型:官方标配;存储容量:64GB,i***e,2019/2/21 23:36,挺好的 用了几天才来评论。之前还一直担心  还是很满意可以放心买。只是快递等得我好苦
1.03482E+12,0,网络类型:无需合约版;机身颜色:银色;套餐类型:官方标配;存储容量:64GB,m***9,2019/2/13 9:48,拍照非常的好，是正品手机，看啦好久才买的，价格又便宜
1.03582E+12,0,网络类型:无需合约版;机身颜色:深空灰色;套餐类型:官方标配;存储容量:64GB,y***6,2019/2/28 11:30,不错可能 先用看看 真真品
1.03603E+12,0,网络类型:无需合约版;机身颜色:金色;套餐类型:官方标配;存储容量:64GB,t***4,2019/3/1 15:30,今天刚收到很好????喜欢的宝宝可以入手好评
